EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;G;2;22;226;226008;G. Fto Actividades Ev. Universitaria;Gts funcionamiento actividades de evaluac universt
2021;G;2;22;226;226009;Otros gastos diversos;Otros gastos diversos
2021;G;2;22;226;226010;Sanciones AEAT;Sanciones AEAT
2021;G;2;22;226;226011;Indemnizaciones por suspensión de contratos;Indemnizaciones por suspensión de contratos
2021;G;2;22;227;;Trabajos otras empresas;Trabajos realizados por otras empresas
2021;G;2;22;227;227000;Limpieza y aseo;Limpieza y aseo
2021;G;2;22;227;227001;Seguridad;Seguridad
2021;G;2;22;227;227002;Valoraciones y peritajes;Valoraciones y peritajes
2021;G;2;22;227;227003;Postales;Postales
2021;G;2;22;227;227004;Custodia, depósito,almac.;Custodia, depósito y almacenaje
2021;G;2;22;227;227005;Procesos electorales;Procesos electorales
2021;G;2;22;227;227006;Estudio,trabajos técnicos;Estudios y trabajos técnicos
2021;G;2;22;227;227007;Mantenimiento E.D.A.R.;Mantenimiento est. depuradoras de aguas residuales
2021;G;2;22;227;227008;Gest.Ctros Asist. propios;Gestión de Centros Asistenciales propios
2021;G;2;22;227;227009;Otros trabajos empresas;Otros trabajos realizados por otras empresas
2021;G;2;22;227;227010;Mant. Infraest. Telecom;Mant. Infraestructuras y Servicios de Telecomunic.
2021;G;2;22;227;227011;Pruebas lab. externos;Pruebas realizadas por laboratorios externos
2021;G;2;22;229;;Gtos. Ctros doc. no univ.;Gastos en centros docentes no universitarios
2021;G;2;22;229;229000;Funcionamiento de centros;Gtos funcionam. centros docentes no universitarios
2021;G;2;22;229;229001;Gastos de comedor escolar;Gastos de comedor escolar
2021;G;2;22;229;229002;Gratuidad libros de texto;Gratuidad libros de texto
2021;G;2;22;229;229003;Gtos. planes y serv. nuev;Gastos centros en planes y servicios nuevos
2021;G;2;23;;;Indemnizac. por servicio;Indemnizaciones por razón del servicio
2021;G;2;23;230;;Dietas;Dietas
2021;G;2;23;230;230000;Dietas;Dietas
2021;G;2;23;231;;Locomoción;Locomoción
2021;G;2;23;231;231000;Locomoción;Locomoción
2021;G;2;23;232;;Traslado;Traslado
2021;G;2;23;232;232000;Traslado;Traslado
2021;G;2;23;233;;Gastos a través de agencias de viajes;Gastos a través de agencias de viaje
2021;G;2;23;233;233000;Gastos a través de agencias de viajes;Gastos a través de agencias de viaje
2021;G;2;23;239;;Otras indemnizaciones;Otras indemnizaciones
2021;G;2;23;239;239000;Otras indemnizaciones;Otras indemnizaciones
2021;G;2;24;;;Servicios nuevos;Servicios nuevos
2021;G;2;24;240;;Arrend. servicios nuevos;Arrendamientos para servicios nuevos
2021;G;2;24;240;240000;Arrend. servicios nuevos;Arrendamientos para servicios nuevos
2021;G;2;24;241;;Rep. conserv serv. nuevos;Reparación y conservación para servicios nuevos
2021;G;2;24;241;241000;Rep. conserv serv. nuevos;Reparación y conservación para servicios nuevos
2021;G;2;24;242;;Mater,sumin. serv. nuevos;Material,suministros y otros para servicios nuevos
2021;G;2;24;242;242000;Mater,sumin. serv. nuevos;Material,suministros y otros para servicios nuevos
2021;G;2;24;243;;Dietas,locom. serv.nuevos;Dietas y locomociones para servicios nuevos
2021;G;2;24;243;243000;Dietas,locom. serv.nuevos;Dietas y locomociones para servicios nuevos
2021;G;2;24;244;;Ac.concertada serv.nuevos;Acción concertada en servicios nuevos
2021;G;2;24;244;244000;Ac.concertada serv.nuevos;Acción concertada en servicios nuevos
2021;G;2;24;249;;Otros gastos serv. nuevos;Otros gastos en servicios nuevos
2021;G;2;24;249;249000;Otros gastos serv. nuevos;Otros gastos en servicios nuevos
2021;G;2;25;;;Otr gtos b.corrient y ser;Otros gastos en bienes corrientes y servicios
2021;G;2;25;250;;Gastos pruebas selectivas;Gastos en pruebas selectivas
2021;G;2;25;250;250000;Gastos pruebas selectivas;Gastos en pruebas selectivas
2021;G;2;25;251;;Realización de cursos;Gastos de realización de cursos
2021;G;2;25;251;251000;Realización de cursos;Realización de cursos de formación interna
2021;G;2;25;251;251001;Form. jóvenes nuevas tec.;Formación a jóvenes en nuevas tecnologías
2021;G;2;25;251;251002;Planes Trabajo Ctros Nac.;Planes de Trabajo. Centros Nacionales
2021;G;2;25;251;251003;Cursos form. externa;Realización de cursos de formación externa
2021;G;2;26;;;Serv.Asist. medios ajenos;Servicios asistenciales con medios ajenos
2021;G;2;26;261;;Concier. Asist. Sanitaria;Conciertos para Asistencia Sanitaria
2021;G;2;26;261;261000;Programas de hemodiálisis;Programas de hemodiálisis
2021;G;2;26;261;261001;Litotr.renales extracorp.;Litotricias renales extracorpóreas
2021;G;2;26;261;261002;Resonancia nuclear magn.;Resonancia nuclear magnética
2021;G;2;26;261;261003;Tomografía axial comput.;Tomografía axial computerizada
2021;G;2;26;261;261004;Terap.insuf.respir.domic.;Terapia insuficiencia respiratoria a domicilio
2021;G;2;26;261;261005;Programas tte. sanitario;Programas de transporte sanitario
2021;G;2;26;261;261009;Otros conciertos As.Sanit;Otros conciertos de Asistencia Sanitaria
2021;G;2;26;262;;Otros Serv. As. Sanitaria;Otros Servicios de Asistencia Sanitaria
2021;G;2;26;262;262000;Conv.Univ:plazas vincul.;Convenio con Universidades: plazas vinculadas
2021;G;2;26;263;;Acc.concertada S.Sociales;Acción concertada en Servicios Sociales
2021;G;2;26;263;263000;Acc.concertada S.Sociales;Acción concertada en Servicios Sociales
2021;G;2;26;263;263001;Conv. Entidades Públicas;Convenios con Entidades Públicas
2021;G;2;26;263;263002;Conc. Entidades Privadas;Conciertos con Entidades Privadas
2021;G;2;26;263;263003;Acogimientos familiares;Acogimientos familiares
2021;G;2;26;263;263004;Otros convenios;Otros convenios
2021;G;3;;;;Gastos Financieros;Gastos Financieros
2021;G;3;30;;;De deuda interior;De deuda interior
2021;G;3;30;300;;Intereses títulos Deuda;Intereses de títulos de la Deuda
2021;G;3;30;300;300000;Intereses títulos Deuda;Intereses de títulos de la Deuda
2021;G;3;30;301;;Gtos em,mod,cancel. Deuda;Gastos de emisión, modificación y cancelación
2021;G;3;30;301;301000;Gtos em,mod,cancel. Deuda;Gastos de emisión, modificación y cancelación
2021;G;3;30;303;;Rendimientos implícitos;Rendimientos implícitos
2021;G;3;30;303;303000;Rendimientos implícitos;Rendimientos implícitos
2021;G;3;31;;;De préstamos del interior;De préstamos del interior
2021;G;3;31;310;;Inter. préstamos interior;Intereses de Préstamos del interior
