# Comarcas obtenidas a partir de - por ejemplo - http://opendata.aragon.es/dataset/cifras-poblacion-revision-padron-municipal-2006-comarcas
# Municipios obtenidos del INE: http://www.ine.es/daco/daco42/codmun/codmunmapa.htm
CA1,comunidad,Aragón
50046,municipio,Belmonte de Gracián
50047,municipio,Berdejo
50048,municipio,Berrueco
50901,municipio,Biel
50050,municipio,Bijuesca
50051,municipio,Biota
50052,municipio,Bisimbre
50053,municipio,Boquiñeni
50054,municipio,Bordalba
50055,municipio,Borja
50056,municipio,Botorrita
50057,municipio,Brea de Aragón
50058,municipio,Bubierca
50059,municipio,Bujaraloz
50060,municipio,Bulbuente
50061,municipio,Bureta
50062,municipio,El Burgo de Ebro
50063,municipio,El Buste
50064,municipio,Cabañas de Ebro
50065,municipio,Cabolafuente
50066,municipio,Cadrete
50067,municipio,Calatayud
50068,municipio,Calatorao
50069,municipio,Calcena
50070,municipio,Calmarza
50071,municipio,Campillo de Aragón
50072,municipio,Carenas
50073,municipio,Cariñena
50074,municipio,Caspe
50075,municipio,Castejón de Alarba
50076,municipio,Castejón de las Armas
50077,municipio,Castejón de Valdejasa
50078,municipio,Castiliscar
50079,municipio,Cervera de la Cañada
50080,municipio,Cerveruela
50081,municipio,Cetina
50092,municipio,Chiprana
50093,municipio,Chodes
50082,municipio,Cimballa
50083,municipio,Cinco Olivas
50084,municipio,Clarés de Ribota
50085,municipio,Codo
50086,municipio,Codos
50087,municipio,Contamina
50088,municipio,Cosuenda
50089,municipio,Cuarte de Huerva
50090,municipio,Cubel
50091,municipio,Las Cuerlas
50094,municipio,Daroca
50095,municipio,Ejea de los Caballeros
50096,municipio,Embid de Ariza
50098,municipio,Encinacorba
50099,municipio,Épila
50100,municipio,Erla
50101,municipio,Escatrón
50102,municipio,Fabara
50104,municipio,Farlete
50105,municipio,Fayón
50106,municipio,Los Fayos
50107,municipio,Figueruelas
50108,municipio,Fombuena
50109,municipio,El Frago
50110,municipio,El Frasno
50111,municipio,Fréscano
50113,municipio,Fuendejalón
50114,municipio,Fuendetodos
50115,municipio,Fuentes de Ebro
50116,municipio,Fuentes de Jiloca
50117,municipio,Gallocanta
50118,municipio,Gallur
50119,municipio,Gelsa
50120,municipio,Godojos
50121,municipio,Gotor
50122,municipio,Grisel
50123,municipio,Grisén
50124,municipio,Herrera de los Navarros
50125,municipio,Ibdes
50126,municipio,Illueca
50128,municipio,Isuerre
50129,municipio,Jaraba
50130,municipio,Jarque
50131,municipio,Jaulín
50132,municipio,La Joyosa
50133,municipio,Lagata
50134,municipio,Langa del Castillo
50135,municipio,Layana
50136,municipio,Lécera
50138,municipio,Lechón
50137,municipio,Leciñena
50139,municipio,Letux
50140,municipio,Litago
50141,municipio,Lituénigo
50142,municipio,Lobera de Onsella
50143,municipio,Longares
50144,municipio,Longás
50146,municipio,Lucena de Jalón
50147,municipio,Luceni
50148,municipio,Luesia
50149,municipio,Luesma
50150,municipio,Lumpiaque
50151,municipio,Luna
50152,municipio,Maella
50153,municipio,Magallón
50154,municipio,Mainar
50155,municipio,Malanquilla
50156,municipio,Maleján
50160,municipio,Mallén
50157,municipio,Malón
50159,municipio,Maluenda
50161,municipio,Manchones
50162,municipio,Mara
50163,municipio,María de Huerva
50902,municipio,Marracos
50164,municipio,Mediana de Aragón
50165,municipio,Mequinenza
50166,municipio,Mesones de Isuela
50167,municipio,Mezalocha
50168,municipio,Mianos
50169,municipio,Miedes de Aragón
50170,municipio,Monegrillo
50171,municipio,Moneva
50172,municipio,Monreal de Ariza
50173,municipio,Monterde
50174,municipio,Montón
50175,municipio,Morata de Jalón
50176,municipio,Morata de Jiloca
50177,municipio,Morés
50178,municipio,Moros
50179,municipio,Moyuela
50180,municipio,Mozota
50181,municipio,Muel
50182,municipio,La Muela
50183,municipio,Munébrega
50184,municipio,Murero
50185,municipio,Murillo de Gállego
50186,municipio,Navardún
50187,municipio,Nigüella
50188,municipio,Nombrevilla
50189,municipio,Nonaspe
50190,municipio,Novallas
50191,municipio,Novillas
50192,municipio,Nuévalos
50193,municipio,Nuez de Ebro
50194,municipio,Olvés
50195,municipio,Orcajo
50196,municipio,Orera
50197,municipio,Orés
50198,municipio,Oseja
50199,municipio,Osera de Ebro
50200,municipio,Paniza
50201,municipio,Paracuellos de Jiloca
50202,municipio,Paracuellos de la Ribera
50203,municipio,Pastriz
50204,municipio,Pedrola
50205,municipio,Las Pedrosas
50206,municipio,Perdiguera
50207,municipio,Piedratajada
50208,municipio,Pina de Ebro
50209,municipio,Pinseque
50210,municipio,Los Pintanos
50211,municipio,Plasencia de Jalón
50212,municipio,Pleitas
50213,municipio,Plenas
50214,municipio,Pomer
50215,municipio,Pozuel de Ariza
50216,municipio,Pozuelo de Aragón
50217,municipio,Pradilla de Ebro
50218,municipio,Puebla de Albortón
50219,municipio,La Puebla de Alfindén
50220,municipio,Puendeluna
50221,municipio,Purujosa
50222,municipio,Quinto
50223,municipio,Remolinos
50224,municipio,Retascón
50225,municipio,Ricla
50227,municipio,Romanos
50228,municipio,Rueda de Jalón
50229,municipio,Ruesca
50241,municipio,Sabiñán
50230,municipio,Sádaba
50231,municipio,Salillas de Jalón
50232,municipio,Salvatierra de Esca
50233,municipio,Samper del Salz
50234,municipio,San Martín de la Virgen de Moncayo
50235,municipio,San Mateo de Gállego
50236,municipio,Santa Cruz de Grío
50237,municipio,Santa Cruz de Moncayo
50238,municipio,Santa Eulalia de Gállego
50239,municipio,Santed
50240,municipio,Sástago
50242,municipio,Sediles
50243,municipio,Sestrica
50244,municipio,Sierra de Luna
50245,municipio,Sigüés
50246,municipio,Sisamón
50247,municipio,Sobradiel
50248,municipio,Sos del Rey Católico
50249,municipio,Tabuenca
50250,municipio,Talamantes
50251,municipio,Tarazona
50252,municipio,Tauste
50253,municipio,Terrer
50254,municipio,Tierga
50255,municipio,Tobed
50256,municipio,Torralba de los Frailes
50257,municipio,Torralba de Ribota
50258,municipio,Torralbilla
50259,municipio,Torrehermosa
50260,municipio,Torrelapaja
50261,municipio,Torrellas
50262,municipio,Torres de Berrellén
50263,municipio,Torrijo de la Cañada
50264,municipio,Tosos
50265,municipio,Trasmoz
50266,municipio,Trasobares
50267,municipio,Uncastillo
50268,municipio,Undués de Lerda
50269,municipio,Urrea de Jalón
50270,municipio,Urriés
50271,municipio,Used
50272,municipio,Utebo
50274,municipio,Val de San Martín
50273,municipio,Valdehorna
50275,municipio,Valmadrid
50276,municipio,Valpalmas
50277,municipio,Valtorres
50278,municipio,Velilla de Ebro
50279,municipio,Velilla de Jiloca
50280,municipio,Vera de Moncayo
50281,municipio,Vierlas
50283,municipio,Villadoz
50284,municipio,Villafeliche
50285,municipio,Villafranca de Ebro
50286,municipio,Villalba de Perejil
50287,municipio,Villalengua
50903,municipio,Villamayor de Gállego
50288,municipio,Villanueva de Gállego
50290,municipio,Villanueva de Huerva
50289,municipio,Villanueva de Jiloca
50291,municipio,Villar de los Navarros
50292,municipio,Villarreal de Huerva
50293,municipio,Villarroya de la Sierra
50294,municipio,Villarroya del Campo
50282,municipio,La Vilueña
50295,municipio,Vistabella
50296,municipio,La Zaida
50297,municipio,Zaragoza
50298,municipio,Zuera
